987,4,宮城県,4,33,東北本線,1,894,仙台駅,37,仙台市,13,987,system,2017-10-24 05:10:16,system,2017-10-24 05:10:16,1,38.260027,140.882158
988,4,宮城県,4,33,東北本線,1,895,東仙台駅,38,仙台市|宮城野区,13,988,system,2014-12-12 17:44:20,system,2014-12-12 17:44:20,1,38.276512,140.920204
1000,4,宮城県,4,33,東北本線,1,907,瀬峰駅,50,栗原市,13,1000,system,2018-05-23 16:02:03,system,2018-05-23 16:02:03,1,38.655153,141.07383
1002,4,宮城県,4,33,東北本線,1,909,新田駅（宮城県）,52,登米市,13,1002,system,2018-05-23 16:02:03,system,2018-05-23 16:02:03,1,38.711475,141.119428
1007,4,宮城県,4,43,仙山線,2,894,仙台駅,1,仙台市,13,987,system,2017-10-24 05:10:16,system,2017-10-24 05:10:16,1,38.260027,140.882158
1009,4,宮城県,6,43,仙山線,2,915,北仙台駅,3,仙台市|青葉区,13,1009,system,2019-10-01 11:05:24,system,2019-10-01 11:05:24,3,38.281594,140.869885
1010,4,宮城県,4,43,仙山線,2,916,北山駅（宮城県）,4,仙台市|青葉区,13,1010,system,2014-12-12 17:44:20,system,2014-12-12 17:44:20,1,38.285154,140.851876
1011,4,宮城県,4,43,仙山線,2,917,東北福祉大前駅,5,仙台市,13,1011,system,2017-10-24 05:10:16,system,2017-10-24 05:10:16,1,38.280468,140.842683
1013,4,宮城県,4,43,仙山線,2,919,葛岡駅,7,仙台市,13,1013,system,2017-10-24 05:10:16,system,2017-10-24 05:10:16,1,38.268816,140.818583
1014,4,宮城県,4,43,仙山線,2,920,陸前落合駅,8,仙台市,13,1014,system,2017-10-24 05:10:16,system,2017-10-24 05:10:16,1,38.273379,140.789896
1016,4,宮城県,6,43,仙山線,2,922,陸前白沢駅,10,仙台市|青葉区,13,1016,system,2019-10-01 11:05:24,system,2019-10-01 11:05:24,3,38.278117,140.702333
1020,4,宮城県,4,44,仙石線,3,926,あおば通駅,1,仙台市,13,1020,system,2017-10-24 05:10:16,system,2017-10-24 05:10:16,1,38.260749,140.878514
1021,4,宮城県,4,44,仙石線,3,894,仙台駅,2,仙台市,13,987,system,2017-10-24 05:10:16,system,2017-10-24 05:10:16,1,38.260027,140.882158
1022,4,宮城県,4,44,仙石線,3,927,榴ケ岡駅,3,仙台市,13,1022,system,2017-10-24 05:10:16,system,2017-10-24 05:10:16,1,38.258792,140.893782
1025,4,宮城県,4,44,仙石線,3,930,苦竹駅,6,仙台市,13,1025,system,2017-10-24 05:10:16,system,2017-10-24 05:10:16,1,38.268722,140.918867
1031,4,宮城県,4,44,仙石線,3,936,下馬駅,12,多賀城市,13,1031,system,2018-05-23 16:02:03,system,2018-05-23 16:02:03,1,38.305833,141.014965
1047,4,宮城県,4,44,仙石線,3,952,陸前赤井駅,28,東松島市,13,1047,system,2018-05-23 16:02:03,system,2018-05-23 16:02:03,1,38.432442,141.238883
1048,4,宮城県,4,44,仙石線,3,953,蛇田駅,29,石巻市,13,1048,system,2018-05-23 16:02:03,system,2018-05-23 16:02:03,1,38.438218,141.277652
1050,4,宮城県,6,44,仙石線,3,955,石巻駅,32,石巻市,13,1058,system,2018-05-23 16:02:03,system,2018-05-23 16:02:03,1,38.43538,141.303553
1058,4,宮城県,6,45,石巻線,4,955,石巻駅,8,石巻市,13,1058,system,2018-05-23 16:02:03,system,2018-05-23 16:02:03,1,38.43538,141.303553
